ticket_id,permit_book,lot_code,delivery_date,crop,weight_tonnes,moisture_pct,elevator,postal_code
00901,4520911276704069,4-8,2025-08-28,Spring Wheat,40.6,12.0,Biggar,S0L 2V0
00902,4520389194053018,4-8,2025-10-20,Canola,28.9,15.0,Rosetown,S0L 2V0
00903,4520579772927223,6-7,2025-09-12,Peas,40.3,8.3,Rosetown,S0L 2N0
00904,4520428587877243,8-4,2025-10-10,Spring Wheat,24.4,14.8,Davidson,S0L 1S0
00905,4520729888826224,1-8,2025-10-12,Peas,26.9,11.8,Biggar,S0L 2N0
00906,4520136434439102,8-15,2025-09-16,Canola,26.7,11.5,Biggar,S0L 2V0
00907,4520964353325844,8-8,2025-10-25,Barley,35.5,10.9,Kindersley,S0K 0M0
00908,4520893770499515,4-8,2025-09-19,Oats,32.4,15.4,Outlook,S0G 1B0
00909,4520855399214982,4-1,2025-11-27,Spring Wheat,18.5,13.4,Biggar,S7K 3J7
00910,4520825644858440,5-8,2025-09-03,Oats,40.1,12.7,Kindersley,S7K 3J7
00911,4520221087062082,7-11,2025-10-21,Canola,25.6,15.1,Rosetown,S0L 2N0
00912,4520676249653966,3-12,2025-10-10,Spring Wheat,36.9,12.4,Biggar,S0K 0M0
00913,4520894279987210,1-11,2025-09-07,Peas,34.7,10.2,Rosetown,S0G 1B0
00914,4520830888709488,6-9,2025-08-05,Spring Wheat,25.0,12.3,Kindersley,S0G 1B0
00915,4520800009429128,2-9,2025-11-12,Barley,19.3,15.3,Kindersley,S7K 3J7
00916,4520086713975437,1-7,2025-08-17,Spring Wheat,25.6,8.1,Outlook,S0L 2V0
00917,4520614517521586,2-15,2025-09-09,Spring Wheat,20.3,10.1,Kindersley,S0L 2N0
00918,4520416966290884,7-5,2025-11-28,Spring Wheat,40.6,9.2,Rosetown,S0L 1S0
00919,4520063943178801,4-4,2025-10-07,Oats,21.0,9.8,Rosetown,S7K 3J7
00920,4520560224593896,6-14,2025-09-14,Canola,40.0,8.1,Kindersley,S7K 3J7
