ticket_id,permit_book,lot_code,delivery_date,crop,weight_tonnes,moisture_pct,elevator,postal_code
00001,4520642770084895,9-3,2025-09-20,Peas,28.7,12.6,Biggar,S7K 3J7
00002,4520432352324907,4-15,2025-09-04,Barley,43.1,13.8,Rosetown,S0L 1S0
00003,4520090335386630,1-11,2025-10-13,Peas,38.2,10.6,Davidson,S0G 1B0
00004,4520935603455326,8-2,2025-11-18,Barley,29.2,14.5,Kindersley,S0L 2N0
00005,4520156598886483,5-5,2025-11-05,Oats,22.1,8.9,Kindersley,S0L 1S0
00006,4520884482276120,1-15,2025-11-15,Peas,39.4,11.6,Biggar,S0K 0M0
00007,4520123423067209,2-11,2025-09-20,Spring Wheat,33.4,9.5,Davidson,S0L 2V0
00008,4520577329410186,8-11,2025-09-25,Oats,29.3,12.3,Biggar,S7K 3J7
00009,4520214601608362,1-2,2025-09-19,Spring Wheat,40.3,7.5,Biggar,S7K 3J7
00010,4520273304820044,2-11,2025-10-11,Oats,35.5,9.4,Rosetown,S0L 1S0
00011,4520512026167444,9-3,2025-09-03,Canola,37.1,14.2,Kindersley,S0K 0M0
00012,4520079080356256,7-8,2025-09-07,Canola,18.0,8.9,Biggar,S0L 2V0
00013,4520314593185999,4-12,2025-11-14,Canola,18.9,12.3,Outlook,S0L 2N0
00014,4520331572965749,3-5,2025-09-28,Peas,27.1,15.4,Davidson,S0G 1B0
00015,4520647229693561,9-5,2025-11-12,Canola,33.2,13.9,Kindersley,S0L 2V0
00016,4520194581443873,8-14,2025-10-09,Barley,18.8,14.5,Biggar,S0L 2V0
00017,4520588959329813,1-7,2025-11-05,Barley,30.4,9.3,Outlook,S0L 1S0
00018,4520362452124806,6-13,2025-10-21,Barley,19.5,8.2,Davidson,S0L 2V0
00019,4520989983538578,5-5,2025-10-28,Canola,34.4,10.4,Biggar,S0G 1B0
00020,4520249012981058,6-3,2025-11-20,Canola,35.1,8.6,Rosetown,S0G 1B0
